"도착지전철역","역간소요분","외부코드","전철명명(영문)","전철역명","전철역코드","출발지전철역","호선"
"종로3가","2","129","Jongno 5(o)-ga","종로5가","0154","종로5가","01호선"
"종각","2","130","Jongno 3(sam)-ga","종로3가","0153","종로3가","01호선"
"시청","3","131","Jonggak","종각","0152","종각","01호선"
"서울역","2","132","City Hall","시청","0151","시청","01호선"
"남영","3","133","Seoul Station","서울역","0150","서울역","01호선"
"용산","3","134","Namyeong","남영","1002","남영","01호선"
"노량진","4","135","Yongsan","용산","1003","용산","01호선"
"대방","3","136","Noryangjin","노량진","1004","노량진","01호선"
"신길","2","137","Daebang","대방","1005","대방","01호선"
"영등포","3","138","Singil","신길","1032","신길","01호선"
"신도림","3","139","Yeongdeungpo","영등포","1006","영등포","01호선"
"구로","2","140","Sindorim","신도림","1007","신도림","01호선"
"구일","3","141","Guro","구로","1701","구로","01호선"
"개봉","2","142","Guil","구일","1813","구일","01호선"
"오류동","3","143","Gaebong","개봉","1801","개봉","01호선"
"온수","3","144","Oryu-dong","오류동","1802","오류동","01호선"
"역곡","2","145","Onsu","온수","1821","온수","01호선"
"소사","3","146","Yeokgok","역곡","1803","역곡","01호선"
"부천","2","147","Sosa","소사","1814","소사","01호선"
"중동","3","148","Bucheon","부천","1804","부천","01호선"
"송내","2","149","Jung-dong","중동","1822","중동","01호선"
"부개","2","150","Songnae","송내","1805","송내","01호선"
"부평","3","151","Bugae","부개","1815","부개","01호선"
"백운","3","152","Bupyeong","부평","1806","부평","01호선"
"동암","3","153","Baegun","백운","1807","백운","01호선"
"간석","3","154","Dongam","동암","1808","동암","01호선"
"주안","2","155","Ganseok","간석","1816","간석","01호선"
"도화","2","156","Juan","주안","1809","주안","01호선"
"제물포","2","157","Dohwa","도화","1823","도화","01호선"
"도원","3","158","Jemulpo","제물포","1810","제물포","01호선"
"동인천","2","159","Dowon","도원","1817","도원","01호선"
"인천","4","160","Dongincheon","동인천","1811","동인천","01호선"
"가산디지털단지","57","161","Incheon","인천","1812","인천","01호선"
"독산","3","P142","Gasan Digital Complex","가산디지털단지","1702","가산디지털단지","01호선"
"금천구청","2","P143","Doksan","독산","1714","독산","01호선"
"광명","5","P144","Geumcheon-Gu Office","금천구청","1703","금천구청","01호선"
"석수","21","P144-1","Gwangmyeong","광명","1750","광명","01호선"
"관악","3","P145","Seoksu","석수","1704","석수","01호선"
"안양","3","P146","Gwanak","관악","1705","관악","01호선"
"명학","3","P147","Anyang","안양","1706","안양","01호선"
"금정","3","P148","Myeonghak","명학","1707","명학","01호선"
"군포","3","P149","Geumjeong","금정","1708","금정","01호선"
"당정","3","P150","Gunpo","군포","1709","군포","01호선"
"의왕","4","P151","Dangjeong","당정","1729","당정","01호선"
"성균관대","4","P152","Uiwang","의왕","1710","의왕","01호선"
"화서","4","P153","Sungkyunkwan Univ.","성균관대","1711","성균관대","01호선"
"수원","3","P154","Hwaseo","화서","1712","화서","01호선"
"세류","4","P155","Suwon","수원","1713","수원","01호선"
"병점","4","P156","Seryu","세류","1715","세류","01호선"
"서동탄","3","P157","Byeongjeom","병점","1716","병점","01호선"
"세마","15","P157-1","Seodongtan","서동탄","1749","서동탄","01호선"
"오산대","3","P158","Sema","세마","1717","세마","01호선"
"오산","4","P159","Osan College","오산대","1718","오산대","01호선"
"진위","4","P160","Osan","오산","1719","오산","01호선"
"송탄","4","P161","Jinwi","진위","1720","진위","01호선"
"서정리","3","P162","Songtan","송탄","1721","송탄","01호선"
"평택지제","5","P163","Seojeong-ri","서정리","1722","서정리","01호선"
"평택","5","P164","PyeongtaekJije","평택지제","1723","평택지제","01호선"
"성환","8","P165","Pyeongtaek","평택","1724","평택","01호선"
"직산","5","P166","Seonghwan","성환","1725","성환","01호선"
"두정","5","P167","Jiksan","직산","1726","직산","01호선"
"천안","4","P168","Dujeong","두정","1727","두정","01호선"
"봉명","3","P169","Cheonan","천안","1728","천안","01호선"
"쌍용","3","P170","Bongmyeong","봉명","1401","봉명","01호선"
"아산","3","P171","Ssangyong","쌍용","1402","쌍용","01호선"
"배방","5","P172","Asan","아산","1403","아산","01호선"
"온양온천","5","P174","Baebang","배방","1405","배방","01호선"
"신창","5","P176","Onyang oncheon","온양온천","1407","온양온천","01호선"
"판교","7","D10","Cheonggyesan","청계산입구","4310","청계산입구","신분당선"
"정자","3","D11","Pangyo","판교","4311","판교","신분당선"
"미금","3","D12","Jeongja","정자","4312","정자","신분당선"
"동천","3","D13","Migeum","미금","4313","미금","신분당선"
"수지구청","3","D14","Dongcheon","동천","4314","동천","신분당선"
"성복","3","D15","Suji-gu office","수지구청","4315","수지구청","신분당선"
"상현","3","D16","Seongbok","성복","4316","성복","신분당선"
"광교중앙","3","D17","Sanghyeon","상현","4317","상현","신분당선"
"강남","34","D18","GwanggyoJungang","광교중앙","4318","광교중앙","신분당선"
"양재","2","D7","Gangnam","강남","4307","강남","신분당선"
"양재시민의숲","2","D8","Yangjae","양재","4308","양재","신분당선"
"정발산","3","310","Juyeop","주엽","1957","주엽","03호선"
"마두","2","311","Jeongbalsan","정발산","1956","정발산","03호선"
"백석","3","312","Madu","마두","1955","마두","03호선"
"대곡","4","313","Baekseok","백석","1954","백석","03호선"
"화정","3","314","Daegok","대곡","1953","대곡","03호선"
"원당","4","315","Hwajeong","화정","1952","화정","03호선"
"원흥","4","316","Wondang","원당","1951","원당","03호선"
"삼송","3","317","Wonheung","원흥","1948","원흥","03호선"
"지축","3","318","Samsong","삼송","1950","삼송","03호선"
"구파발","4","319","Jichuk","지축","0309","지축","03호선"
"연신내","3","320","Gupabal","구파발","0310","구파발","03호선"
"불광","2","321","Yeonsinnae","연신내","0311","연신내","03호선"
"녹번","2","322","Bulgwang","불광","0312","불광","03호선"
"홍제","3","323","Nokbeon","녹번","0313","녹번","03호선"
"무악재","2","324","Hongje","홍제","0314","홍제","03호선"
"독립문","2","325","Muakjae","무악재","0315","무악재","03호선"
"경복궁","3","326","Dongnimmun","독립문","0316","독립문","03호선"
