"걸린시간","외부코드","전철명명(영문)","전철역명","전철역코드","호선"
"3","P148","Myeonghak","명학","1707","01호선"
"3","P149","Geumjeong","금정","1708","01호선"
"6","P150","Gunpo","군포","1709","01호선"
"4","P152","Uiwang","의왕","1710","01호선"
"4","P153","Sungkyunkwan Univ.","성균관대","1711","01호선"
"3","P154","Hwaseo","화서","1712","01호선"
"35","P155","Suwon","수원","1713","01호선"
"39","P143","Doksan","독산","1714","01호선"
"4","P156","Seryu","세류","1715","01호선"
"3","P157","Byeongjeom","병점","1716","01호선"
"3","P158","Sema","세마","1717","01호선"
"4","P159","Osan College","오산대","1718","01호선"
"4","P160","Osan","오산","1719","01호선"
"4","P161","Jinwi","진위","1720","01호선"
"3","P162","Songtan","송탄","1721","01호선"
"5","P163","Seojeong-ri","서정리","1722","01호선"
"5","P164","PyeongtaekJije","평택지제","1723","01호선"
"8","P165","Pyeongtaek","평택","1724","01호선"
"5","P166","Seonghwan","성환","1725","01호선"
"5","P167","Jiksan","직산","1726","01호선"
"4","P168","Dujeong","두정","1727","01호선"
"71","P169","Cheonan","천안","1728","01호선"
"39","P151","Dangjeong","당정","1729","01호선"
"83","P157-1","Seodongtan","서동탄","1749","01호선"
"23","P144-1","Gwangmyeong","광명","1750","01호선"
"3","143","Gaebong","개봉","1801","01호선"
"5","144","Oryu-dong","오류동","1802","01호선"
"5","146","Yeokgok","역곡","1803","01호선"
"5","148","Bucheon","부천","1804","01호선"
"5","150","Songnae","송내","1805","01호선"
"3","152","Bupyeong","부평","1806","01호선"
"3","153","Baegun","백운","1807","01호선"
"5","154","Dongam","동암","1808","01호선"
"4","156","Juan","주안","1809","01호선"
"5","158","Jemulpo","제물포","1810","01호선"
"4","160","Dongincheon","동인천","1811","01호선"
"45","161","Incheon","인천","1812","01호선"
"12","142","Guil","구일","1813","01호선"
"9","147","Sosa","소사","1814","01호선"
"10","151","Bugae","부개","1815","01호선"
"9","155","Ganseok","간석","1816","01호선"
"32","159","Dowon","도원","1817","01호선"
"9","145","Onsu","온수","1821","01호선"
"18","149","Jung-dong","중동","1822","01호선"
"95","157","Dohwa","도화","1823","01호선"
"2","115","Banghak","방학","1901","01호선"
"2","114","Dobong","도봉","1902","01호선"
"3","113","Dobongsan","도봉산","1903","01호선"
"2","112","Mangwolsa","망월사","1904","01호선"
"3","111","Hoeryong","회룡","1905","01호선"
"3","110","Uijeongbu","의정부","1906","01호선"
"2","109","Ganeung","가능","1907","01호선"
"3","108","Nogyang","녹양","1908","01호선"
"6","107","Yangju","양주","1909","01호선"
"4","106","Deokgye","덕계","1910","01호선"
"6","105","Deokjeong","덕정","1911","01호선"
"2","104","Jihaeng","지행","1912","01호선"
"3","103","Dongducheon jungang","동두천중앙","1913","01호선"
"3","102","Bosan","보산","1914","01호선"
"4","101","Dongducheon","동두천","1915","01호선"
"3","I110","Gyeyang","계양","3110","인천선"
"3","I111","Gyulhyeon","귤현","3111","인천선"
"2","I112","Bakchon","박촌","3112","인천선"
"2","I113","Imhak","임학","3113","인천선"
"3","I114","Gyesan","계산","3114","인천선"
"2","I115","Gyeong-in Nat`l Univ. of Education","경인교대입구","3115","인천선"
"2","I116","Jakjeon","작전","3116","인천선"
"2","I117","Galsan","갈산","3117","인천선"
"2","I118","Bupyeong-gu Office","부평구청","3118","인천선"
"2","I119","Bupyeong Market","부평시장","3119","인천선"
"2","I120","Bupyeong","부평","3120","인천선"
"2","I121","Dongsu","동수","3121","인천선"
"2","I122","Bupyeongsamgeori","부평삼거리","3122","인천선"
"3","I123","Ganseogogeori","간석오거리","3123","인천선"
"2","I124","Incheon City Hall","인천시청","3124","인천선"
"2","I125","Arts Center","예술회관","3125","인천선"
"2","I126","Incheon Bus Terminal","인천터미널","3126","인천선"
"2","I127","Munhak Sports Complex","문학경기장","3127","인천선"
"2","I128","Seonhak","선학","3128","인천선"
"2","I129","Sinyeonsu","신연수","3129","인천선"
"2","I130","Woninjae","원인재","3130","인천선"
"2","I131","Dongchun","동춘","3131","인천선"
"3","I132","Dongmak","동막","3132","인천선"
"2","I133","Campus Town","캠퍼스타운","3133","인천선"
"3","I134","Technopark","테크노파크","3134","인천선"
"2","I135","BIT Zone","지식정보단지","3135","인천선"
"2","I136","Incheon Nat'l Univ.","인천대입구","3136","인천선"
"1","I137","Central Park","센트럴파크","3137","인천선"
"2","I138","Intl. Business District","국제업무지구","3138","인천선"
"4","319","Jichuk","지축","0309","03호선"
"3","320","Gupabal","구파발","0310","03호선"
"2","321","Yeonsinnae","연신내","0311","03호선"
"2","322","Bulgwang","불광","0312","03호선"
"3","323","Nokbeon","녹번","0313","03호선"
"2","324","Hongje","홍제","0314","03호선"
"2","325","Muakjae","무악재","0315","03호선"
"3","326","Dongnimmun","독립문","0316","03호선"
"2","327","Gyeongbokgung","경복궁","0317","03호선"
"2","328","Anguk","안국","0318","03호선"
"2","329","Jongno 3(sam)-ga","종로3가","0319","03호선"
"2","330","Euljiro 3(sam)-ga","을지로3가","0320","03호선"
"2","331","Chungmuro","충무로","0321","03호선"
"2","332","Dongguk Univ.","동대입구","0322","03호선"
"2","333","Yaksu","약수","0323","03호선"
"2","334","Geumho","금호","0324","03호선"
"3","335","Oksu","옥수","0325","03호선"
"3","336","Apgujeong","압구정","0326","03호선"
"2","337","Sinsa","신사","0327","03호선"
"2","338","Jamwon","잠원","0328","03호선"
"3","339","Express Bus Terminal","고속터미널","0329","03호선"
"2","340","Seoul Nat`l Univ. of Education","교대","0330","03호선"
"3","341","Nambu Bus Terminal","남부터미널","0331","03호선"
"3","342","Yangjae","양재","0332","03호선"
"2","343","Maebong","매봉","0333","03호선"
"2","344","Dogok","도곡","0334","03호선"
"2","345","Daechi","대치","0335","03호선"
"2","346","Hangnyeoul","학여울","0336","03호선"
"2","347","Daecheong","대청","0337","03호선"
"3","348","Irwon","일원","0338","03호선"
"2","349","Suseo","수서","0339","03호선"
"2","350","Garak Market","가락시장","0340","03호선"
"2","351","National Police Hospital","경찰병원","0341","03호선"
"74","352","Ogeum","오금","0342","03호선"
"3","317","Wonheung","원흥","1948","03호선"
"7","318","Samsong","삼송","1950","03호선"
"4","316","Wondang","원당","1951","03호선"
"3","315","Hwajeong","화정","1952","03호선"
"4","314","Daegok","대곡","1953","03호선"
"3","313","Baekseok","백석","1954","03호선"
"2","312","Madu","마두","1955","03호선"
"3","311","Jeongbalsan","정발산","1956","03호선"
"3","310","Juyeop","주엽","1957","03호선"
"35","234-4","Kkachisan","까치산","0200","02호선"
"2","201","City Hall","시청","0201","02호선"
"2","202","Euljiro 1(il)-ga","을지로입구","0202","02호선"
"2","203","Euljiro 3(sam)-ga","을지로3가","0203","02호선"
"2","204","Euljiro 4(sa)-ga","을지로4가","0204","02호선"
"2","205","Dongdaemun History  Culture Park","동대문역사문화공원","0205","02호선"
"2","206","Sindang","신당","0206","02호선"
"2","207","Sangwangsimni","상왕십리","0207","02호선"
"2","208","Wangsimni","왕십리","0208","02호선"
"2","209","Hanyang Univ.","한양대","0209","02호선"
"2","210","Ttukseom","뚝섬","0210","02호선"
"3","211","Seongsu","성수","0211","02호선"
"3","212","Konkuk Univ.","건대입구","0212","02호선"
"2","213","Guui","구의","0213","02호선"
"3","214","Gangbyeon","강변","0214","02호선"
"2","215","Jamsillaru","잠실나루","0215","02호선"
"2","216","Jamsil","잠실","0216","02호선"
"2","217","Jamsilsaenae","잠실새내","0217","02호선"
"2","218","Sports Complex","종합운동장","0218","02호선"
"2","219","Samseong","삼성","0219","02호선"
