bus_route_id,bus_route_nm,seq,st_id,ars_id,st_nm,gps_x,gps_y,pos_x,pos_y,dist_next_st,time_next_st,trn_st_id,city_nm
100100549,100,39,101000329,02099,숭례문(가상),126.9744890187,37.5597629406,,,,,,서울
100100549,100,40,101000004,02004,서울역버스환승센터,126.9725522061,37.5554776389,,,,,,서울
100100549,100,41,102000012,03012,갈월동,126.9716892138,37.5495341989,,,,,,서울
100100549,100,42,102000010,03010,숙대입구역,126.9722180094,37.5437536535,,,,,,서울
100100549,100,43,102000008,03008,삼각지역,126.9740800298,37.5359959041,,,,,,서울
100100549,100,44,102000006,03006,KT용산지사,126.9704504046,37.5321195468,,,,,,서울
100100549,100,45,102000004,03004,신용산역,126.9666335,37.52793675,,,,,,서울
100100549,100,46,102000002,03002,한강대교북단.LG유플러스,126.9631384285,37.5243338388,,,,,,서울
100100549,100,47,102000120,03214,이촌동동부센트레빌,126.9661332639,37.5215323867,,,,,,서울
100100549,100,48,102000122,03216,이촌1동충신교회앞,126.9683477687,37.521275303,,,,,,서울
100100549,100,49,102000124,03218,이촌동한강맨션.이촌역,126.9729005287,37.5201520027,,,,,,서울
100100549,100,50,102000126,03220,신용산초등학교,126.9761464371,37.5191306285,,,,,,서울
100100549,100,51,102000128,03222,이촌동점보아파트,126.9783905191,37.5184071679,,,,,,서울
100100549,100,52,102000130,03224,금강병원.반도아파트,126.9811387863,37.5178158456,,,,,,서울
100100549,100,53,102000132,03226,서빙고신동아아파트,126.9854597842,37.5174878544,,,,,,서울
100100549,100,54,102000063,03157,서빙고역1번출구,126.9894739925,37.5200510964,,,,,,서울
100100549,100,55,102000061,03155,한강중학교,126.9920733173,37.5253797715,,,,,,서울
100100549,100,56,102000059,03153,용산구청.크라운호텔,126.9911060067,37.5302507227,,,,,,서울
100100549,100,57,102000060,03154,용산구청.크라운호텔,126.9911951867,37.5296144396,,,,,,서울
100100549,100,58,102000175,03269,한강중학교,126.9913903716,37.5248179784,,,,,,서울
100100549,100,59,102000176,03270,금호베스트빌앞,126.9907042754,37.5226166078,,,,,,서울
100100549,100,60,102000243,03336,서빙고초등학교,126.9906243951,37.5208411716,,,,,,서울
100100549,100,61,102000173,03267,서빙고역교차로,126.9901087261,37.5202604236,,,,,,서울
100100549,100,62,102000231,03325,서빙고역1번출구,126.9892300874,37.5200377124,,,,,,서울
100100549,100,63,102000131,03225,서빙고신동아아파트,126.9851957512,37.5178934253,,,,,,서울
100100549,100,64,102000129,03223,이촌동현대아파트,126.9807832264,37.5179305266,,,,,,서울
100100549,100,65,102000127,03221,이촌동강촌아파트,126.9775800661,37.5187582786,,,,,,서울
100100549,100,66,102000125,03219,신용산초등학교,126.974567284,37.5197158871,,,,,,서울
100100549,100,67,102000123,03217,이촌동한가람아파트.이촌역,126.9718436463,37.5205709728,,,,,,서울
100100549,100,68,102000121,03215,이촌동두산위브트레지움.한강대우아파트,126.9677713597,37.5214178569,,,,,,서울
100100549,100,69,102000001,03001,한강대교북단.LG유플러스,126.9631731011,37.5241009704,,,,,,서울
100100549,100,70,102000003,03003,신용산역,126.9661443758,37.5272804289,,,,,,서울
100100549,100,71,102000005,03005,KT용산지사,126.9701706148,37.5315345859,,,,,,서울
100100549,100,72,102000007,03007,삼각지역,126.9739350361,37.5353188444,,,,,,서울
100100549,100,73,102000009,03009,숙대입구역,126.9725584823,37.5432991184,,,,,,서울
100100549,100,74,102000011,03011,갈월동,126.9721833581,37.5509825934,,,,,,서울
100100549,100,75,101000007,02007,서울역버스환승센터.강우규의거터,126.9727726576,37.5554664032,,,,,,서울
100100549,100,76,101000114,02219,남대문시장앞.이회영활동터,126.9762193,37.56037765,,,,,,서울
100100549,100,77,101000043,02142,롯데영프라자,126.9819217706,37.5630081328,,,,,,서울
100100549,100,78,101000057,02156,을지로입구.로얄호텔,126.9853753406,37.5659870189,,,,,,서울
100100549,100,79,101000060,02159,을지로2가.파인에비뉴,126.9888222236,37.5661216045,,,,,,서울
100100549,100,80,101000062,02161,을지로3가,126.9913175282,37.5662336334,,,,,,서울
