외부코드,전철명명(영문),전철역명,전철역코드,호선,출발지전철역,도착지전철역,역간소요분,
U120,Gyeonggi Provincial Government Northern Office,경기도청북부청사,4610,의정부경전철,경기도청북부청사,효자,1,
U121,hyoja,효자,4611,의정부경전철,효자,곤제,2,
U122,gonjae,곤제,4612,의정부경전철,곤제,어룡,2,
U123,eoryong,어룡,4613,의정부경전철,어룡,송산,1,
U124,Songsan,송산,4614,의정부경전철,송산,탑석,1,
690,Yangchon,양촌,4920,김포도시철도,양촌,구래,6,
691,Gurae,구래,4921,김포도시철도,구래,마산,4,
692,Masan,마산,4922,김포도시철도,마산,장기,2,
693,Janggi,장기,4923,김포도시철도,장기,운양,3,
694,Unyang,운양,4924,김포도시철도,운양,걸포북변,4,
695,Geolpo Bukbyeon,걸포북변,4925,김포도시철도,걸포북변,사우,3,
696,Sau,사우,4926,김포도시철도,사우,풍무,4,
697,Pungmu,풍무,4927,김포도시철도,풍무,고촌,3,
698,Gochon,고촌,4628,김포도시철도,고촌,김포공항,2,
941,Bukhansan Ui,북한산우이,4701,우이신설경전철,북한산우이,솔밭공원,2,
942,Solbat Park,솔밭공원,4702,우이신설경전철,솔밭공원,4.19민주묘지,2,
943,April 19th National Cemetery,4.19민주묘지,4703,우이신설경전철,4.19민주묘지,가오리,2,
944,Gaori,가오리,4704,우이신설경전철,가오리,화계,2,
945,Hwagye,화계,4705,우이신설경전철,화계,삼양,2,
946,Samyang,삼양,4706,우이신설경전철,삼양,삼양사거리,2,
947,Samyang Sageori,삼양사거리,4707,우이신설경전철,삼양사거리,솔샘,2,
948,Solsaem,솔샘,4708,우이신설경전철,솔샘,북한산보국문,2,
949,Bukhansan Bogungmun,북한산보국문,4709,우이신설경전철,북한산보국문,정릉,2,
950,Jeongneung,정릉,4710,우이신설경전철,정릉,성신여대입구,2,
951,Sungshin Women`s Univ.,성신여대입구,4711,우이신설경전철,성신여대입구,보문,3,
952,Bomun,보문,4712,우이신설경전철,보문,신설동,2,
K410,Pangyo,판교,1501,경강선,판교,이매,3,
K411,Imae,이매,1502,경강선,이매,삼동,6,
K412,Samdong,삼동,1503,경강선,삼동,경기광주,5,
K413,GyeonggiGwangju,경기광주,1504,경강선,경기광주,초월,4,
K414,Chowol,초월,1505,경강선,초월,곤지암,5,
K415,Gonjiam,곤지암,1506,경강선,곤지암,신둔도예촌,6,
K416,Sindundoyechon,신둔도예촌,1507,경강선,신둔도예촌,이천,5,
K417,Icheon,이천,1508,경강선,이천,부발,4,
K418,Bubal,부발,1509,경강선,부발,세종대왕릉,6,
K419,Sejong Tomb,세종대왕릉,1510,경강선,세종대왕릉,여주,6,
100,Soyo Mountain,소요산,1916,1호선,소요산,동두천,4,
101,Dongducheon,동두천,1915,1호선,동두천,보산,3,
102,Bosan,보산,1914,1호선,보산,동두천중앙,3,
103,Dongducheon jungang,동두천중앙,1913,1호선,동두천중앙,지행,2,
104,Jihaeng,지행,1912,1호선,지행,덕정,6,
105,Deokjeong,덕정,1911,1호선,덕정,덕계,4,
106,Deokgye,덕계,1910,1호선,덕계,양주,6,
107,Yangju,양주,1909,1호선,양주,녹양,3,
108,Nogyang,녹양,1908,1호선,녹양,가능,2,
109,Ganeung,가능,1907,1호선,가능,의정부,3,
110,Uijeongbu,의정부,1906,1호선,의정부,회룡,3,
111,Hoeryong,회룡,1905,1호선,회룡,망월사,2,
112,Mangwolsa,망월사,1904,1호선,망월사,도봉산,3,
113,Dobongsan,도봉산,1903,1호선,도봉산,도봉,2,
114,Dobong,도봉,1902,1호선,도봉,방학,2,
115,Banghak,방학,1901,1호선,방학,창동,3,
116,Chang-dong,창동,1022,1호선,창동,녹천,2,
117,Nokcheon,녹천,1021,1호선,녹천,월계,3,
118,Wolgye,월계,1020,1호선,월계,광운대,3,
119,Kwangwoon Univ.,광운대,1019,1호선,광운대,석계,3,
120,Seokgye,석계,1018,1호선,석계,신이문,2,
121,Sinimun,신이문,1017,1호선,신이문,외대앞,2,
122,Hankuk Univ. of Foreign Studies,외대앞,1016,1호선,외대앞,회기,2,
123,Hoegi,회기,1015,1호선,회기,청량리,3,
124,Cheongnyangni,청량리,158,1호선,청량리,제기동,2,
125,Jegi-dong,제기동,157,1호선,제기동,신설동,2,
126,Sinseol-dong,신설동,156,1호선,신설동,동묘앞,2,
127,Dongmyo,동묘앞,159,1호선,동묘앞,동대문,2,
128,Dongdaemun,동대문,155,1호선,동대문,종로5가,2,
129,Jongno 5(o)-ga,종로5가,154,1호선,종로5가,종로3가,2,
130,Jongno 3(sam)-ga,종로3가,153,1호선,종로3가,종각,2,
131,Jonggak,종각,152,1호선,종각,시청,3,
132,City Hall,시청,151,1호선,시청,서울역,2,
133,Seoul Station,서울역,150,1호선,서울역,남영,3,
134,Namyeong,남영,1002,1호선,남영,용산,3,
135,Yongsan,용산,1003,1호선,용산,노량진,4,
136,Noryangjin,노량진,1004,1호선,노량진,대방,3,
137,Daebang,대방,1005,1호선,대방,신길,2,
138,Singil,신길,1032,1호선,신길,영등포,3,
139,Yeongdeungpo,영등포,1006,1호선,영등포,신도림,3,
140,Sindorim,신도림,1007,1호선,신도림,구로,2,
141,Guro,구로,1701,1호선,구로,구일,3,
142,Guil,구일,1813,1호선,구일,개봉,2,
143,Gaebong,개봉,1801,1호선,개봉,오류동,3,
144,Oryu-dong,오류동,1802,1호선,오류동,온수,3,
145,Onsu,온수,1821,1호선,온수,역곡,2,
146,Yeokgok,역곡,1803,1호선,역곡,소사,3,
147,Sosa,소사,1814,1호선,소사,부천,2,
148,Bucheon,부천,1804,1호선,부천,중동,3,
149,Jung-dong,중동,1822,1호선,중동,송내,2,
150,Songnae,송내,1805,1호선,송내,부개,2,
151,Bugae,부개,1815,1호선,부개,부평,3,
152,Bupyeong,부평,1806,1호선,부평,백운,3,
153,Baegun,백운,1807,1호선,백운,동암,3,
154,Dongam,동암,1808,1호선,동암,간석,3,
155,Ganseok,간석,1816,1호선,간석,주안,2,
156,Juan,주안,1809,1호선,주안,도화,2,
157,Dohwa,도화,1823,1호선,도화,제물포,2,
158,Jemulpo,제물포,1810,1호선,제물포,도원,3,
159,Dowon,도원,1817,1호선,도원,동인천,2,
160,Dongincheon,동인천,1811,1호선,동인천,인천,4,
141-1,Guro,구로,1701,1호선,구로,가산디지털단지,5,
P142,Gasan Digital Complex,가산디지털단지,1702,1호선,가산디지털단지,독산,3,
P143,Doksan,독산,1714,1호선,독산,금천구청,2,
P144,Geumcheon-Gu Office,금천구청,1703,1호선,금천구청,광명,5,
P144-1,Geumcheon-Gu Office,금천구청,1703,1호선,금천구청,석수,3,
P145,Seoksu,석수,1704,1호선,석수,관악,3,
P146,Gwanak,관악,1705,1호선,관악,안양,3,
P147,Anyang,안양,1706,1호선,안양,명학,3,
P148,Myeonghak,명학,1707,1호선,명학,금정,3,
P149,Geumjeong,금정,1708,1호선,금정,군포,3,
P150,Gunpo,군포,1709,1호선,군포,당정,3,
P151,Dangjeong,당정,1729,1호선,당정,의왕,4,
P152,Uiwang,의왕,1710,1호선,의왕,성균관대,4,
P153,Sungkyunkwan Univ.,성균관대,1711,1호선,성균관대,화서,4,
P154,Hwaseo,화서,1712,1호선,화서,수원,3,
P155,Suwon,수원,1713,1호선,수원,세류,4,
P156,Seryu,세류,1715,1호선,세류,병점,4,
P157,Byeongjeom,병점,1716,1호선,병점,서동탄,3,
P157-1,Byeongjeom,병점,1716,1호선,병점,세마,3,
P158,Sema,세마,1717,1호선,세마,오산대,3,
P159,Osan College,오산대,1718,1호선,오산대,오산,4,
P160,Osan,오산,1719,1호선,오산,진위,4,
P161,Jinwi,진위,1720,1호선,진위,송탄,4,
P162,Songtan,송탄,1721,1호선,송탄,서정리,3,
P163,Seojeong-ri,서정리,1722,1호선,서정리,평택지제,5,
P164,PyeongtaekJije,평택지제,1723,1호선,평택지제,평택,5,
P165,Pyeongtaek,평택,1724,1호선,평택,성환,8,
P166,Seonghwan,성환,1725,1호선,성환,직산,5,
P167,Jiksan,직산,1726,1호선,직산,두정,5,
P168,Dujeong,두정,1727,1호선,두정,천안,4,
P169,Cheonan,천안,1728,1호선,천안,봉명,3,
P170,Bongmyeong,봉명,1401,1호선,봉명,쌍용(나사렛대),3,
P171,Ssangyong,쌍용(나사렛대),1402,1호선,쌍용(나사렛대),아산,3,
P172,Asan,아산,1403,1호선,아산,배방,5,
P174,Baebang,배방,1405,1호선,배방,온양온천,5,
P176,Onyang oncheon,온양온천,1407,1호선,온양온천,신창,5,
D10,Cheonggyesan,청계산입구,4310,신분당선,청계산입구,판교,7,
D11,Pangyo,판교,4311,신분당선,판교,정자,3,
D12,Jeongja,정자,4312,신분당선,정자,미금,3,
