"ars_id","st_id","st_nm","gps_x","gps_y","pos_x","pos_y","trans_yn","area_nm","route_ids","route_nms"
"03193","102000099",이태원119안전센터,"126.9971949215","37.5345410337","199752.10582232318","448343.2805615687",N,서울,"100100015|100100596|100100597","110B국민대|400|405"
"03194","102000100",한남동새마을금고,"127.0003213662","37.5368442711","200028.3993334566","448598.88059725286",N,서울,"100100016|100100596|100100597","110A고려대|400|405"
"03195","102000101",한남동주민센터,"127.0006042579","37.5367073033","200053.39874879195","448583.68060209183",N,서울,"100100015|100100596|100100597","110B국민대|400|405"
"03196","102000102",한강진역.블루스퀘어,"127.001669577","37.5407264564","200147.53392140986","449029.71082324954",N,서울,"100100016|100100596|100100597","110A고려대|400|405"
"03197","102000103",한강진역.블루스퀘어,"127.0021070988","37.5408748585","200186.19562476195","449046.18066024967",N,서울,"100100015|100100596|100100597","110B국민대|400|405"
"03198","102000104",서울역,"126.973780169","37.5535629948","197683.45442146953","450454.580857154",N,서울,"100100596|100100090","400|605"
"03199","102000105",후암3거리,"126.9765772255","37.5525408404","197930.54861045416","450341.0808361578",N,서울,"100100596|100100090","400|605"
"03200","102000106",후암시장,"126.9770644706","37.5506891863","197973.54760538795","450135.5808112058",N,서울,"100100596|100100090","400|605"
"03201","102000107",후암시장,"126.9775446282","37.5497467332","198015.94660668581","450030.98079437856",N,서울,"100100039|100100596","202|400"
"03202","102000108",용산중고,"126.9780966281","37.5469110901","198064.64546352913","449716.2807599376",N,서울,"100100596|100100090","400|605"
"03203","102000109",용산중고,"126.978350169","37.54679039","198087.0449359928","449702.8807516098",N,서울,"100100039|100100596","202|400"
"03204","102000110",후암동종점,"126.9809588102","37.5466989277","198317.53952687938","449692.6807485344",Y,서울,"100100039","202"
"03205","102000111",용산중고,"126.977563","37.54574","198017.46373640894","449586.3289450556",N,서울,"100100039","202"
"03206","102000112",남영동주민센터,"126.976752502","37.5457484198","197945.84825683586","449587.28073991975",N,서울,"100100596|100100090","400|605"
"03207","102000113",남영동주민센터,"126.9750573355","37.5453624049","197796.05177216377","449544.4807291217",N,서울,"100100596","400"
"03208","102000114",남영우체국,"126.973235384","37.5451241168","197635.0555554871","449518.0807336825",N,서울,"100100039|100100596","202|400"
"03209","102000115",남영우체국,"126.9735080526","37.5453224193","197659.15498833993","449540.08073097933",N,서울,"100100596|100100090","400|605"
"03210","102000116",한남시범아파트,"127.0122607528","37.5379429734","201083.47455012015","448720.8806169969",N,서울,"100100016|100100522|100100595","110A고려대|2016|241"
"03211","102000117",한남시범아파트,"127.0126714787","37.5377041394","201119.7736957727","448694.3806172176",N,서울,"100100015|100100522|100100595","110B국민대|2016|241"
"03212","102000118",한남동,"127.0084445845","37.5339127002","200746.28246439403","448273.58055476006",N,서울,"100100016|100100522|100100595","110A고려대|2016|241"
"03213","102000119",한남동,"127.0087002913","37.5337549896","200768.88193916998","448256.08055517124",N,서울,"100100015|100100522|100100595","110B국민대|2016|241"
"03214","102000120",이촌동동부센트레빌,"126.9661231869","37.5214756887","197005.67034142007","446893.88038237486",N,서울,"100100549|100100522|100100579|100100289","100|2016|3012|6211"
"03215","102000121",이촌동두산위브트레지움.한강대우아파트,"126.9677862417","37.5215067914","197152.6668867878","446897.28038653405",N,서울,"100100549|100100522|100100579|100100289","100|2016|3012|6211"
"03216","102000122",이촌1동충신교회앞,"126.9683361998","37.5212059729","197201.2657481657","446863.8803795129",N,서울,"100100549|100100522|100100579|100100289","100|2016|3012|6211"
"03217","102000123",이촌동한가람아파트.이촌역,"126.9718842721","37.520656299","197514.8583793095","446802.78036907455",N,서울,"100100549|100100522|100100579|100100289","100|2016|3012|6211"
"03218","102000124",이촌동한강맨션.이촌역,"126.9728630793","37.5200771209","197601.35634488458","446738.48035621084",N,서울,"100100549|100100522|100100579|100100289","100|2016|3012|6211"
"03219","102000125",신용산초등학교,"126.9745986221","37.5197783418","197754.752741258","446705.28034892306",N,서울,"100100549|100100522|100100579|100100289","100|2016|3012|6211"
"03220","102000126",신용산초등학교,"126.9761068945","37.5190514691","197888.04960938453","446624.580339415",N,서울,"100100549|100100522|100100579|100100289","100|2016|3012|6211"
"03221","102000127",이촌동강촌아파트,"126.9776115957","37.5188201813","198021.0464851278","446598.88034057524",N,서울,"100100549|100100522|100100579|100100289","100|2016|3012|6211"
"03222","102000128",이촌동점보아파트,"126.9783561291","37.5183400338","198086.8449462006","446545.580325183",N,서울,"100100549|100100522|100100579|100100289","100|2016|3012|6211"
"03223","102000129",이촌동현대아파트,"126.9808043144","37.5180656216","198303.23986289086","446515.0803234605",N,서울,"100100549|100100522|100100579|100100289","100|2016|3012|6211"
"03224","102000130",금강병원.반도아파트,"126.9811234284","37.517704332","198331.4391939874","446474.9803227093",N,서울,"100100549|100100522|100100579|100100289","100|2016|3012|6211"
